record_id,rd_headcount,avg_salary,subcontractor_costs,consumables_spend,software_costs,num_projects,pct_time_qualifying,qualifying_rd_expenditure
1,31,35000,0,11563,3254,1,0.5,494752
2,10,37434,0,5000,2000,1,0.69,262598
3,46,41359,9225,28426,18414,1,0.66,1372587
4,54,51273,36592,25116,14194,1,0.67,1663527
5,5,42180,500000,5000,2716,7,0.67,437854
6,8,38654,47462,14054,4222,1,0.67,271142
7,27,49406,202776,8824,16318,1,0.92,1407036
8,18,35000,40531,35144,2000,8,0.62,466772
9,24,35000,72906,23924,8620,12,0.69,743432
10,11,35000,33923,5000,2000,1,0.61,272142
11,51,36981,29599,31711,26717,4,0.54,1141013
12,47,35000,14251,35729,20245,6,0.59,1227512
13,25,42581,60861,28980,19253,8,0.56,669897
14,63,39522,13071,13044,14109,4,0.9,2146733
15,36,35000,0,25680,6682,3,0.67,901434
16,11,35000,133565,5000,10636,4,0.88,452620
17,33,40808,56378,24752,14599,5,0.54,770769
18,10,42705,0,5000,8592,1,0.6,248728
19,51,56073,62614,32263,17623,5,0.77,2659161
20,23,60610,25074,5334,10218,1,0.83,1214005
21,20,40315,0,5000,9548,2,0.9,700462
22,13,35000,4033,17538,10716,1,0.85,442120
23,69,35000,24276,40116,30492,8,0.76,1901052
24,21,39241,0,6660,2000,1,0.74,607124
25,17,35000,6038,30611,2000,4,0.56,383872
26,18,35000,186583,13493,16510,5,0.88,638862
27,38,35000,106321,24221,22626,5,0.77,1163559
28,33,37173,15315,25089,8126,5,0.73,1062518
29,34,46927,5984,15003,2540,4,0.7,1174915
30,35,39756,0,26211,14544,4,0.5,714257
31,151,48830,18916,64465,55735,13,0.73,5308506
32,17,35000,500000,10483,19435,3,0.51,635681
33,15,35000,0,26126,10447,2,0.63,358740
34,12,35000,18555,10194,9169,8,0.57,261876
35,41,38669,0,6672,14091,9,0.67,1149467
36,64,55543,5579,52309,24468,8,0.5,1628085
37,22,38242,25417,38593,6504,1,0.5,510001
38,12,44061,40919,6047,2000,1,0.69,388462
39,12,35000,0,5000,21292,5,0.63,294196
40,42,35000,93804,21995,27211,5,0.57,868272
41,46,35000,0,26437,25916,7,0.61,1124996
42,38,35000,0,16000,6774,1,0.74,1093303
43,13,53327,0,5266,14380,5,0.69,528370
44,29,35000,106657,26995,17087,5,0.68,715345
45,27,44407,0,19845,12205,1,0.68,893959
46,29,35000,11336,5000,18347,2,0.61,664509
47,51,47552,12516,36291,23362,6,0.64,1433713
48,29,40979,0,40226,16890,4,0.95,1180697
49,43,38046,0,25619,19771,4,0.56,982018
50,25,37173,0,13626,12694,3,0.75,748831
51,31,35000,21353,17379,2000,3,0.7,802190
52,41,42668,468576,30952,16751,5,0.52,1284267
53,7,35000,0,5000,5212,6,0.73,207414
54,18,35000,49507,13543,2000,1,0.82,612319
